# Full-ISA Z80N golden vectors from the Spectrum Next FPGA Z80N core (HDL simulation of the core source).
# fmt: opcodehex AF BC DE HL IX IY memHL memDE | (post) AF BC DE HL IX IY memHL memDE  name
CB09 8055 0F10 7F80 0001 1234 4321 00 00 | 8008 0F08 7F80 0001 1234 4321 00 00 CB
CB09 0F10 C0F0 3CC3 00FF F00F 0FF0 00 00 | 0F2C C078 3CC3 00FF F00F 0FF0 00 00 CB
CB09 1093 55AA 2710 7FFF 8000 00C0 00 00 | 1004 5555 2710 7FFF 8000 00C0 00 00 CB
CB0A 0000 0001 0408 1234 5678 C0DE 00 00 | 0000 0001 0208 1234 5678 C0DE 00 00 CB
CB0A 00FF 0102 8001 4123 00FF 0001 00 00 | 0000 0102 4001 4123 00FF 0001 00 00 CB
CB0A FF28 FF7F 1020 8001 BEEF 1357 00 00 | FF08 FF7F 0820 8001 BEEF 1357 00 00 CB
CB0A 3C01 8040 AA55 FFFF 0F0F 8080 00 00 | 3C04 8040 5555 FFFF 0F0F 8080 00 00 CB
CB0A 8055 0F10 7F80 0001 1234 4321 00 00 | 80A9 0F10 BF80 0001 1234 4321 00 00 CB
CB0A 0F10 C0F0 3CC3 00FF F00F 0FF0 00 00 | 0F0C C0F0 1EC3 00FF F00F 0FF0 00 00 CB
CB0A 1093 55AA 2710 7FFF 8000 00C0 00 00 | 1085 55AA 9310 7FFF 8000 00C0 00 00 CB
CB0B 0000 0001 0408 1234 5678 C0DE 00 00 | 0000 0001 0404 1234 5678 C0DE 00 00 CB
CB0B 00FF 0102 8001 4123 00FF 0001 00 00 | 0081 0102 8080 4123 00FF 0001 00 00 CB
CB0B FF28 FF7F 1020 8001 BEEF 1357 00 00 | FF00 FF7F 1010 8001 BEEF 1357 00 00 CB
CB0B 3C01 8040 AA55 FFFF 0F0F 8080 00 00 | 3CAD 8040 AAAA FFFF 0F0F 8080 00 00 CB
CB0B 8055 0F10 7F80 0001 1234 4321 00 00 | 8000 0F10 7F40 0001 1234 4321 00 00 CB
CB0B 0F10 C0F0 3CC3 00FF F00F 0FF0 00 00 | 0FA5 C0F0 3CE1 00FF F00F 0FF0 00 00 CB
CB0B 1093 55AA 2710 7FFF 8000 00C0 00 00 | 1008 55AA 2708 7FFF 8000 00C0 00 00 CB
CB0C 0000 0001 0408 1234 5678 C0DE 00 00 | 000C 0001 0408 0934 5678 C0DE 00 00 CB
CB0C 00FF 0102 8001 4123 00FF 0001 00 00 | 00A5 0102 8001 A023 00FF 0001 00 00 CB
CB0C FF28 FF7F 1020 8001 BEEF 1357 00 00 | FF00 FF7F 1020 4001 BEEF 1357 00 00 CB
CB0C 3C01 8040 AA55 FFFF 0F0F 8080 00 00 | 3CAD 8040 AA55 FFFF 0F0F 8080 00 00 CB
CB0C 8055 0F10 7F80 0001 1234 4321 00 00 | 8044 0F10 7F80 0001 1234 4321 00 00 CB
CB0C 0F10 C0F0 3CC3 00FF F00F 0FF0 00 00 | 0F44 C0F0 3CC3 00FF F00F 0FF0 00 00 CB
CB0C 1093 55AA 2710 7FFF 8000 00C0 00 00 | 10A9 55AA 2710 BFFF 8000 00C0 00 00 CB
CB0D 0000 0001 0408 1234 5678 C0DE 00 00 | 0008 0001 0408 121A 5678 C0DE 00 00 CB
CB0D 00FF 0102 8001 4123 00FF 0001 00 00 | 0081 0102 8001 4191 00FF 0001 00 00 CB
CB0D FF28 FF7F 1020 8001 BEEF 1357 00 00 | FF81 FF7F 1020 8080 BEEF 1357 00 00 CB
CB0D 3C01 8040 AA55 FFFF 0F0F 8080 00 00 | 3CAD 8040 AA55 FFFF 0F0F 8080 00 00 CB
CB0D 8055 0F10 7F80 0001 1234 4321 00 00 | 8081 0F10 7F80 0080 1234 4321 00 00 CB
CB0D 0F10 C0F0 3CC3 00FF F00F 0FF0 00 00 | 0FAD C0F0 3CC3 00FF F00F 0FF0 00 00 CB
CB0D 1093 55AA 2710 7FFF 8000 00C0 00 00 | 10AD 55AA 2710 7FFF 8000 00C0 00 00 CB
CB0E 0000 A000 A001 A000 A000 A000 00 00 | 0044 A000 A001 A000 A000 A000 00 00 CB
CB0E 00FF A000 A001 A000 A000 A000 08 80 | 0000 A000 A001 A000 A000 A000 04 80 CB
CB0E FF28 A000 A001 A000 A000 A000 28 0F | FF04 A000 A001 A000 A000 A000 14 0F CB
CB0E 3C01 A000 A001 A000 A000 A000 FF 55 | 3CAD A000 A001 A000 A000 A000 FF 55 CB
CB0E 8055 A000 A001 A000 A000 A000 AC 18 | 8004 A000 A001 A000 A000 A000 56 18 CB
CB0E 0F10 A000 A001 A000 A000 A000 80 C0 | 0F00 A000 A001 A000 A000 A000 40 C0 CB
CB0E AAC3 A000 A001 A000 A000 A000 07 F7 | AA81 A000 A001 A000 A000 A000 83 F7 CB
CB0E 1093 A000 A001 A000 A000 A000 42 01 | 1024 A000 A001 A000 A000 A000 21 01 CB
CB0F 0000 0001 0408 1234 5678 C0DE 00 00 | 0044 0001 0408 1234 5678 C0DE 00 00 CB
CB0F 00FF 0102 8001 4123 00FF 0001 00 00 | 0044 0102 8001 4123 00FF 0001 00 00 CB
CB0F FF28 FF7F 1020 8001 BEEF 1357 00 00 | FFAD FF7F 1020 8001 BEEF 1357 00 00 CB
CB0F 3C01 8040 AA55 FFFF 0F0F 8080 00 00 | 1E0C 8040 AA55 FFFF 0F0F 8080 00 00 CB
CB0F 8055 0F10 7F80 0001 1234 4321 00 00 | 4000 0F10 7F80 0001 1234 4321 00 00 CB
CB0F 0F10 C0F0 3CC3 00FF F00F 0FF0 00 00 | 8785 C0F0 3CC3 00FF F00F 0FF0 00 00 CB
CB0F 1093 55AA 2710 7FFF 8000 00C0 00 00 | 0808 55AA 2710 7FFF 8000 00C0 00 00 CB
CB10 0000 0001 0408 1234 5678 C0DE 00 00 | 0044 0001 0408 1234 5678 C0DE 00 00 CB
CB10 00FF 0102 8001 4123 00FF 0001 00 00 | 0004 0302 8001 4123 00FF 0001 00 00 CB
CB10 FF28 FF7F 1020 8001 BEEF 1357 00 00 | FFA9 FE7F 1020 8001 BEEF 1357 00 00 CB
CB10 3C01 8040 AA55 FFFF 0F0F 8080 00 00 | 3C01 0140 AA55 FFFF 0F0F 8080 00 00 CB
CB10 8055 0F10 7F80 0001 1234 4321 00 00 | 8008 1F10 7F80 0001 1234 4321 00 00 CB
CB10 0F10 C0F0 3CC3 00FF F00F 0FF0 00 00 | 0F81 80F0 3CC3 00FF F00F 0FF0 00 00 CB
CB10 1093 55AA 2710 7FFF 8000 00C0 00 00 | 10A8 ABAA 2710 7FFF 8000 00C0 00 00 CB
CB11 0000 0001 0408 1234 5678 C0DE 00 00 | 0000 0002 0408 1234 5678 C0DE 00 00 CB
CB11 00FF 0102 8001 4123 00FF 0001 00 00 | 0004 0105 8001 4123 00FF 0001 00 00 CB
CB11 FF28 FF7F 1020 8001 BEEF 1357 00 00 | FFA8 FFFE 1020 8001 BEEF 1357 00 00 CB
CB11 3C01 8040 AA55 FFFF 0F0F 8080 00 00 | 3C84 8081 AA55 FFFF 0F0F 8080 00 00 CB
CB11 8055 0F10 7F80 0001 1234 4321 00 00 | 8024 0F21 7F80 0001 1234 4321 00 00 CB
CB11 0F10 C0F0 3CC3 00FF F00F 0FF0 00 00 | 0FA1 C0E0 3CC3 00FF F00F 0FF0 00 00 CB
CB11 1093 55AA 2710 7FFF 8000 00C0 00 00 | 1005 5555 2710 7FFF 8000 00C0 00 00 CB
CB12 0000 0001 0408 1234 5678 C0DE 00 00 | 0008 0001 0808 1234 5678 C0DE 00 00 CB
CB12 00FF 0102 8001 4123 00FF 0001 00 00 | 0001 0102 0101 4123 00FF 0001 00 00 CB
CB12 FF28 FF7F 1020 8001 BEEF 1357 00 00 | FF20 FF7F 2020 8001 BEEF 1357 00 00 CB
CB12 3C01 8040 AA55 FFFF 0F0F 8080 00 00 | 3C05 8040 5555 FFFF 0F0F 8080 00 00 CB
CB12 8055 0F10 7F80 0001 1234 4321 00 00 | 80AC 0F10 FF80 0001 1234 4321 00 00 CB
CB12 0F10 C0F0 3CC3 00FF F00F 0FF0 00 00 | 0F2C C0F0 78C3 00FF F00F 0FF0 00 00 CB
CB12 1093 55AA 2710 7FFF 8000 00C0 00 00 | 1008 55AA 4F10 7FFF 8000 00C0 00 00 CB
CB13 0000 0001 0408 1234 5678 C0DE 00 00 | 0000 0001 0410 1234 5678 C0DE 00 00 CB
CB13 00FF 0102 8001 4123 00FF 0001 00 00 | 0004 0102 8003 4123 00FF 0001 00 00 CB
CB13 FF28 FF7F 1020 8001 BEEF 1357 00 00 | FF00 FF7F 1040 8001 BEEF 1357 00 00 CB
CB13 3C01 8040 AA55 FFFF 0F0F 8080 00 00 | 3CA8 8040 AAAB FFFF 0F0F 8080 00 00 CB
CB13 8055 0F10 7F80 0001 1234 4321 00 00 | 8001 0F10 7F01 0001 1234 4321 00 00 CB
CB13 0F10 C0F0 3CC3 00FF F00F 0FF0 00 00 | 0F81 C0F0 3C86 00FF F00F 0FF0 00 00 CB
CB13 1093 55AA 2710 7FFF 8000 00C0 00 00 | 1024 55AA 2721 7FFF 8000 00C0 00 00 CB
CB14 0000 0001 0408 1234 5678 C0DE 00 00 | 0024 0001 0408 2434 5678 C0DE 00 00 CB
CB14 00FF 0102 8001 4123 00FF 0001 00 00 | 0080 0102 8001 8323 00FF 0001 00 00 CB
CB14 FF28 FF7F 1020 8001 BEEF 1357 00 00 | FF45 FF7F 1020 0001 BEEF 1357 00 00 CB
CB14 3C01 8040 AA55 FFFF 0F0F 8080 00 00 | 3CAD 8040 AA55 FFFF 0F0F 8080 00 00 CB
CB14 8055 0F10 7F80 0001 1234 4321 00 00 | 8000 0F10 7F80 0101 1234 4321 00 00 CB
CB14 0F10 C0F0 3CC3 00FF F00F 0FF0 00 00 | 0F44 C0F0 3CC3 00FF F00F 0FF0 00 00 CB
CB14 1093 55AA 2710 7FFF 8000 00C0 00 00 | 10AC 55AA 2710 FFFF 8000 00C0 00 00 CB
CB15 0000 0001 0408 1234 5678 C0DE 00 00 | 0028 0001 0408 1268 5678 C0DE 00 00 CB
CB15 00FF 0102 8001 4123 00FF 0001 00 00 | 0004 0102 8001 4147 00FF 0001 00 00 CB
CB15 FF28 FF7F 1020 8001 BEEF 1357 00 00 | FF00 FF7F 1020 8002 BEEF 1357 00 00 CB
CB15 3C01 8040 AA55 FFFF 0F0F 8080 00 00 | 3CAD 8040 AA55 FFFF 0F0F 8080 00 00 CB
CB15 8055 0F10 7F80 0001 1234 4321 00 00 | 8004 0F10 7F80 0003 1234 4321 00 00 CB
CB15 0F10 C0F0 3CC3 00FF F00F 0FF0 00 00 | 0FA9 C0F0 3CC3 00FE F00F 0FF0 00 00 CB
CB15 1093 55AA 2710 7FFF 8000 00C0 00 00 | 10AD 55AA 2710 7FFF 8000 00C0 00 00 CB
CB16 0000 A000 A001 A000 A000 A000 00 00 | 0044 A000 A001 A000 A000 A000 00 00 CB
CB16 00FF A000 A001 A000 A000 A000 08 80 | 0004 A000 A001 A000 A000 A000 11 80 CB
CB16 FF28 A000 A001 A000 A000 A000 28 0F | FF04 A000 A001 A000 A000 A000 50 0F CB
CB16 3C01 A000 A001 A000 A000 A000 FF 55 | 3CAD A000 A001 A000 A000 A000 FF 55 CB
CB16 8055 A000 A001 A000 A000 A000 AC 18 | 800D A000 A001 A000 A000 A000 59 18 CB
CB16 0F10 A000 A001 A000 A000 A000 80 C0 | 0F45 A000 A001 A000 A000 A000 00 C0 CB
CB16 AAC3 A000 A001 A000 A000 A000 07 F7 | AA0C A000 A001 A000 A000 A000 0F F7 CB
CB16 1093 A000 A001 A000 A000 A000 42 01 | 1080 A000 A001 A000 A000 A000 85 01 CB
CB17 0000 0001 0408 1234 5678 C0DE 00 00 | 0044 0001 0408 1234 5678 C0DE 00 00 CB
CB17 00FF 0102 8001 4123 00FF 0001 00 00 | 0100 0102 8001 4123 00FF 0001 00 00 CB
CB17 FF28 FF7F 1020 8001 BEEF 1357 00 00 | FEA9 FF7F 1020 8001 BEEF 1357 00 00 CB
CB17 3C01 8040 AA55 FFFF 0F0F 8080 00 00 | 7928 8040 AA55 FFFF 0F0F 8080 00 00 CB
CB17 8055 0F10 7F80 0001 1234 4321 00 00 | 0101 0F10 7F80 0001 1234 4321 00 00 CB
CB17 0F10 C0F0 3CC3 00FF F00F 0FF0 00 00 | 1E0C C0F0 3CC3 00FF F00F 0FF0 00 00 CB
CB17 1093 55AA 2710 7FFF 8000 00C0 00 00 | 2124 55AA 2710 7FFF 8000 00C0 00 00 CB
CB18 0000 0001 0408 1234 5678 C0DE 00 00 | 0044 0001 0408 1234 5678 C0DE 00 00 CB
CB18 00FF 0102 8001 4123 00FF 0001 00 00 | 0081 8002 8001 4123 00FF 0001 00 00 CB
CB18 FF28 FF7F 1020 8001 BEEF 1357 00 00 | FF29 7F7F 1020 8001 BEEF 1357 00 00 CB
CB18 3C01 8040 AA55 FFFF 0F0F 8080 00 00 | 3C84 C040 AA55 FFFF 0F0F 8080 00 00 CB
CB18 8055 0F10 7F80 0001 1234 4321 00 00 | 8085 8710 7F80 0001 1234 4321 00 00 CB
CB18 0F10 C0F0 3CC3 00FF F00F 0FF0 00 00 | 0F24 60F0 3CC3 00FF F00F 0FF0 00 00 CB
CB18 1093 55AA 2710 7FFF 8000 00C0 00 00 | 10AD AAAA 2710 7FFF 8000 00C0 00 00 CB
CB19 0000 0001 0408 1234 5678 C0DE 00 00 | 0045 0000 0408 1234 5678 C0DE 00 00 CB
CB19 00FF 0102 8001 4123 00FF 0001 00 00 | 0084 0181 8001 4123 00FF 0001 00 00 CB
CB19 FF28 FF7F 1020 8001 BEEF 1357 00 00 | FF2D FF3F 1020 8001 BEEF 1357 00 00 CB
CB19 3C01 8040 AA55 FFFF 0F0F 8080 00 00 | 3CA4 80A0 AA55 FFFF 0F0F 8080 00 00 CB
CB19 8055 0F10 7F80 0001 1234 4321 00 00 | 808C 0F88 7F80 0001 1234 4321 00 00 CB
CB19 0F10 C0F0 3CC3 00FF F00F 0FF0 00 00 | 0F2C C078 3CC3 00FF F00F 0FF0 00 00 CB
CB19 1093 55AA 2710 7FFF 8000 00C0 00 00 | 1080 55D5 2710 7FFF 8000 00C0 00 00 CB
CB1A 0000 0001 0408 1234 5678 C0DE 00 00 | 0000 0001 0208 1234 5678 C0DE 00 00 CB
CB1A 00FF 0102 8001 4123 00FF 0001 00 00 | 0084 0102 C001 4123 00FF 0001 00 00 CB
CB1A FF28 FF7F 1020 8001 BEEF 1357 00 00 | FF08 FF7F 0820 8001 BEEF 1357 00 00 CB
CB1A 3C01 8040 AA55 FFFF 0F0F 8080 00 00 | 3C80 8040 D555 FFFF 0F0F 8080 00 00 CB
CB1A 8055 0F10 7F80 0001 1234 4321 00 00 | 80A9 0F10 BF80 0001 1234 4321 00 00 CB
CB1A 0F10 C0F0 3CC3 00FF F00F 0FF0 00 00 | 0F0C C0F0 1EC3 00FF F00F 0FF0 00 00 CB
CB1A 1093 55AA 2710 7FFF 8000 00C0 00 00 | 1085 55AA 9310 7FFF 8000 00C0 00 00 CB
CB1B 0000 0001 0408 1234 5678 C0DE 00 00 | 0000 0001 0404 1234 5678 C0DE 00 00 CB
CB1B 00FF 0102 8001 4123 00FF 0001 00 00 | 0081 0102 8080 4123 00FF 0001 00 00 CB
CB1B FF28 FF7F 1020 8001 BEEF 1357 00 00 | FF00 FF7F 1010 8001 BEEF 1357 00 00 CB
CB1B 3C01 8040 AA55 FFFF 0F0F 8080 00 00 | 3CAD 8040 AAAA FFFF 0F0F 8080 00 00 CB
CB1B 8055 0F10 7F80 0001 1234 4321 00 00 | 8084 0F10 7FC0 0001 1234 4321 00 00 CB
CB1B 0F10 C0F0 3CC3 00FF F00F 0FF0 00 00 | 0F21 C0F0 3C61 00FF F00F 0FF0 00 00 CB
CB1B 1093 55AA 2710 7FFF 8000 00C0 00 00 | 108C 55AA 2788 7FFF 8000 00C0 00 00 CB
CB1C 0000 0001 0408 1234 5678 C0DE 00 00 | 000C 0001 0408 0934 5678 C0DE 00 00 CB
CB1C 00FF 0102 8001 4123 00FF 0001 00 00 | 00A5 0102 8001 A023 00FF 0001 00 00 CB
CB1C FF28 FF7F 1020 8001 BEEF 1357 00 00 | FF00 FF7F 1020 4001 BEEF 1357 00 00 CB
CB1C 3C01 8040 AA55 FFFF 0F0F 8080 00 00 | 3CAD 8040 AA55 FFFF 0F0F 8080 00 00 CB
CB1C 8055 0F10 7F80 0001 1234 4321 00 00 | 8080 0F10 7F80 8001 1234 4321 00 00 CB
CB1C 0F10 C0F0 3CC3 00FF F00F 0FF0 00 00 | 0F44 C0F0 3CC3 00FF F00F 0FF0 00 00 CB
CB1C 1093 55AA 2710 7FFF 8000 00C0 00 00 | 10A9 55AA 2710 BFFF 8000 00C0 00 00 CB
CB1D 0000 0001 0408 1234 5678 C0DE 00 00 | 0008 0001 0408 121A 5678 C0DE 00 00 CB
CB1D 00FF 0102 8001 4123 00FF 0001 00 00 | 0081 0102 8001 4191 00FF 0001 00 00 CB
CB1D FF28 FF7F 1020 8001 BEEF 1357 00 00 | FF45 FF7F 1020 8000 BEEF 1357 00 00 CB
CB1D 3C01 8040 AA55 FFFF 0F0F 8080 00 00 | 3CAD 8040 AA55 FFFF 0F0F 8080 00 00 CB
CB1D 8055 0F10 7F80 0001 1234 4321 00 00 | 8081 0F10 7F80 0080 1234 4321 00 00 CB
CB1D 0F10 C0F0 3CC3 00FF F00F 0FF0 00 00 | 0F29 C0F0 3CC3 007F F00F 0FF0 00 00 CB
CB1D 1093 55AA 2710 7FFF 8000 00C0 00 00 | 10AD 55AA 2710 7FFF 8000 00C0 00 00 CB
CB1E 0000 A000 A001 A000 A000 A000 00 00 | 0044 A000 A001 A000 A000 A000 00 00 CB
CB1E 00FF A000 A001 A000 A000 A000 08 80 | 0084 A000 A001 A000 A000 A000 84 80 CB
CB1E FF28 A000 A001 A000 A000 A000 28 0F | FF04 A000 A001 A000 A000 A000 14 0F CB
CB1E 3C01 A000 A001 A000 A000 A000 FF 55 | 3CAD A000 A001 A000 A000 A000 FF 55 CB
CB1E 8055 A000 A001 A000 A000 A000 AC 18 | 8080 A000 A001 A000 A000 A000 D6 18 CB
CB1E 0F10 A000 A001 A000 A000 A000 80 C0 | 0F00 A000 A001 A000 A000 A000 40 C0 CB
CB1E AAC3 A000 A001 A000 A000 A000 07 F7 | AA81 A000 A001 A000 A000 A000 83 F7 CB
CB1E 1093 A000 A001 A000 A000 A000 42 01 | 10A0 A000 A001 A000 A000 A000 A1 01 CB
CB1F 0000 0001 0408 1234 5678 C0DE 00 00 | 0044 0001 0408 1234 5678 C0DE 00 00 CB
CB1F 00FF 0102 8001 4123 00FF 0001 00 00 | 8080 0102 8001 4123 00FF 0001 00 00 CB
CB1F FF28 FF7F 1020 8001 BEEF 1357 00 00 | 7F29 FF7F 1020 8001 BEEF 1357 00 00 CB
CB1F 3C01 8040 AA55 FFFF 0F0F 8080 00 00 | 9E88 8040 AA55 FFFF 0F0F 8080 00 00 CB
CB1F 8055 0F10 7F80 0001 1234 4321 00 00 | C084 0F10 7F80 0001 1234 4321 00 00 CB
CB1F 0F10 C0F0 3CC3 00FF F00F 0FF0 00 00 | 0701 C0F0 3CC3 00FF F00F 0FF0 00 00 CB
CB1F 1093 55AA 2710 7FFF 8000 00C0 00 00 | 888C 55AA 2710 7FFF 8000 00C0 00 00 CB
CB20 0000 0001 0408 1234 5678 C0DE 00 00 | 0044 0001 0408 1234 5678 C0DE 00 00 CB
CB20 00FF 0102 8001 4123 00FF 0001 00 00 | 0000 0202 8001 4123 00FF 0001 00 00 CB
CB20 FF28 FF7F 1020 8001 BEEF 1357 00 00 | FFA9 FE7F 1020 8001 BEEF 1357 00 00 CB
CB20 3C01 8040 AA55 FFFF 0F0F 8080 00 00 | 3C45 0040 AA55 FFFF 0F0F 8080 00 00 CB
CB20 8055 0F10 7F80 0001 1234 4321 00 00 | 800C 1E10 7F80 0001 1234 4321 00 00 CB
CB20 0F10 C0F0 3CC3 00FF F00F 0FF0 00 00 | 0F81 80F0 3CC3 00FF F00F 0FF0 00 00 CB
CB20 1093 55AA 2710 7FFF 8000 00C0 00 00 | 10AC AAAA 2710 7FFF 8000 00C0 00 00 CB
CB21 0000 0001 0408 1234 5678 C0DE 00 00 | 0000 0002 0408 1234 5678 C0DE 00 00 CB
CB21 00FF 0102 8001 4123 00FF 0001 00 00 | 0000 0104 8001 4123 00FF 0001 00 00 CB
CB21 FF28 FF7F 1020 8001 BEEF 1357 00 00 | FFA8 FFFE 1020 8001 BEEF 1357 00 00 CB
CB21 3C01 8040 AA55 FFFF 0F0F 8080 00 00 | 3C80 8080 AA55 FFFF 0F0F 8080 00 00 CB
CB21 8055 0F10 7F80 0001 1234 4321 00 00 | 8020 0F20 7F80 0001 1234 4321 00 00 CB
CB21 0F10 C0F0 3CC3 00FF F00F 0FF0 00 00 | 0FA1 C0E0 3CC3 00FF F00F 0FF0 00 00 CB
CB21 1093 55AA 2710 7FFF 8000 00C0 00 00 | 1001 5554 2710 7FFF 8000 00C0 00 00 CB
CB22 0000 0001 0408 1234 5678 C0DE 00 00 | 0008 0001 0808 1234 5678 C0DE 00 00 CB
CB22 00FF 0102 8001 4123 00FF 0001 00 00 | 0045 0102 0001 4123 00FF 0001 00 00 CB
CB22 FF28 FF7F 1020 8001 BEEF 1357 00 00 | FF20 FF7F 2020 8001 BEEF 1357 00 00 CB
CB22 3C01 8040 AA55 FFFF 0F0F 8080 00 00 | 3C01 8040 5455 FFFF 0F0F 8080 00 00 CB
CB22 8055 0F10 7F80 0001 1234 4321 00 00 | 80A8 0F10 FE80 0001 1234 4321 00 00 CB
CB22 0F10 C0F0 3CC3 00FF F00F 0FF0 00 00 | 0F2C C0F0 78C3 00FF F00F 0FF0 00 00 CB
CB22 1093 55AA 2710 7FFF 8000 00C0 00 00 | 100C 55AA 4E10 7FFF 8000 00C0 00 00 CB
CB23 0000 0001 0408 1234 5678 C0DE 00 00 | 0000 0001 0410 1234 5678 C0DE 00 00 CB
CB23 00FF 0102 8001 4123 00FF 0001 00 00 | 0000 0102 8002 4123 00FF 0001 00 00 CB
CB23 FF28 FF7F 1020 8001 BEEF 1357 00 00 | FF00 FF7F 1040 8001 BEEF 1357 00 00 CB
CB23 3C01 8040 AA55 FFFF 0F0F 8080 00 00 | 3CAC 8040 AAAA FFFF 0F0F 8080 00 00 CB
CB23 8055 0F10 7F80 0001 1234 4321 00 00 | 8045 0F10 7F00 0001 1234 4321 00 00 CB
CB23 0F10 C0F0 3CC3 00FF F00F 0FF0 00 00 | 0F81 C0F0 3C86 00FF F00F 0FF0 00 00 CB
CB23 1093 55AA 2710 7FFF 8000 00C0 00 00 | 1020 55AA 2720 7FFF 8000 00C0 00 00 CB
CB24 0000 0001 0408 1234 5678 C0DE 00 00 | 0024 0001 0408 2434 5678 C0DE 00 00 CB
CB24 00FF 0102 8001 4123 00FF 0001 00 00 | 0084 0102 8001 8223 00FF 0001 00 00 CB
CB24 FF28 FF7F 1020 8001 BEEF 1357 00 00 | FF45 FF7F 1020 0001 BEEF 1357 00 00 CB
CB24 3C01 8040 AA55 FFFF 0F0F 8080 00 00 | 3CA9 8040 AA55 FEFF 0F0F 8080 00 00 CB
CB24 8055 0F10 7F80 0001 1234 4321 00 00 | 8044 0F10 7F80 0001 1234 4321 00 00 CB
CB24 0F10 C0F0 3CC3 00FF F00F 0FF0 00 00 | 0F44 C0F0 3CC3 00FF F00F 0FF0 00 00 CB
CB24 1093 55AA 2710 7FFF 8000 00C0 00 00 | 10A8 55AA 2710 FEFF 8000 00C0 00 00 CB
CB25 0000 0001 0408 1234 5678 C0DE 00 00 | 0028 0001 0408 1268 5678 C0DE 00 00 CB
CB25 00FF 0102 8001 4123 00FF 0001 00 00 | 0000 0102 8001 4146 00FF 0001 00 00 CB
CB25 FF28 FF7F 1020 8001 BEEF 1357 00 00 | FF00 FF7F 1020 8002 BEEF 1357 00 00 CB
CB25 3C01 8040 AA55 FFFF 0F0F 8080 00 00 | 3CA9 8040 AA55 FFFE 0F0F 8080 00 00 CB
CB25 8055 0F10 7F80 0001 1234 4321 00 00 | 8000 0F10 7F80 0002 1234 4321 00 00 CB
CB25 0F10 C0F0 3CC3 00FF F00F 0FF0 00 00 | 0FA9 C0F0 3CC3 00FE F00F 0FF0 00 00 CB
CB25 1093 55AA 2710 7FFF 8000 00C0 00 00 | 10A9 55AA 2710 7FFE 8000 00C0 00 00 CB
CB26 0000 A000 A001 A000 A000 A000 00 00 | 0044 A000 A001 A000 A000 A000 00 00 CB
CB26 00FF A000 A001 A000 A000 A000 08 80 | 0000 A000 A001 A000 A000 A000 10 80 CB
CB26 FF28 A000 A001 A000 A000 A000 28 0F | FF04 A000 A001 A000 A000 A000 50 0F CB
CB26 3C01 A000 A001 A000 A000 A000 FF 55 | 3CA9 A000 A001 A000 A000 A000 FE 55 CB
CB26 8055 A000 A001 A000 A000 A000 AC 18 | 8009 A000 A001 A000 A000 A000 58 18 CB
CB26 0F10 A000 A001 A000 A000 A000 80 C0 | 0F45 A000 A001 A000 A000 A000 00 C0 CB
CB26 AAC3 A000 A001 A000 A000 A000 07 F7 | AA08 A000 A001 A000 A000 A000 0E F7 CB
CB26 1093 A000 A001 A000 A000 A000 42 01 | 1084 A000 A001 A000 A000 A000 84 01 CB
CB27 0000 0001 0408 1234 5678 C0DE 00 00 | 0044 0001 0408 1234 5678 C0DE 00 00 CB
CB27 00FF 0102 8001 4123 00FF 0001 00 00 | 0044 0102 8001 4123 00FF 0001 00 00 CB
CB27 FF28 FF7F 1020 8001 BEEF 1357 00 00 | FEA9 FF7F 1020 8001 BEEF 1357 00 00 CB
CB27 3C01 8040 AA55 FFFF 0F0F 8080 00 00 | 782C 8040 AA55 FFFF 0F0F 8080 00 00 CB
CB27 8055 0F10 7F80 0001 1234 4321 00 00 | 0045 0F10 7F80 0001 1234 4321 00 00 CB
CB27 0F10 C0F0 3CC3 00FF F00F 0FF0 00 00 | 1E0C C0F0 3CC3 00FF F00F 0FF0 00 00 CB
CB27 1093 55AA 2710 7FFF 8000 00C0 00 00 | 2020 55AA 2710 7FFF 8000 00C0 00 00 CB
CB28 0000 0001 0408 1234 5678 C0DE 00 00 | 0044 0001 0408 1234 5678 C0DE 00 00 CB
CB28 00FF 0102 8001 4123 00FF 0001 00 00 | 0045 0002 8001 4123 00FF 0001 00 00 CB
CB28 FF28 FF7F 1020 8001 BEEF 1357 00 00 | FFAD FF7F 1020 8001 BEEF 1357 00 00 CB
CB28 3C01 8040 AA55 FFFF 0F0F 8080 00 00 | 3C84 C040 AA55 FFFF 0F0F 8080 00 00 CB
CB28 8055 0F10 7F80 0001 1234 4321 00 00 | 8001 0710 7F80 0001 1234 4321 00 00 CB
CB28 0F10 C0F0 3CC3 00FF F00F 0FF0 00 00 | 0FA0 E0F0 3CC3 00FF F00F 0FF0 00 00 CB
CB28 1093 55AA 2710 7FFF 8000 00C0 00 00 | 1029 2AAA 2710 7FFF 8000 00C0 00 00 CB
CB29 0000 0001 0408 1234 5678 C0DE 00 00 | 0045 0000 0408 1234 5678 C0DE 00 00 CB
CB29 00FF 0102 8001 4123 00FF 0001 00 00 | 0000 0101 8001 4123 00FF 0001 00 00 CB
CB29 FF28 FF7F 1020 8001 BEEF 1357 00 00 | FF2D FF3F 1020 8001 BEEF 1357 00 00 CB
CB29 3C01 8040 AA55 FFFF 0F0F 8080 00 00 | 3C20 8020 AA55 FFFF 0F0F 8080 00 00 CB
CB29 8055 0F10 7F80 0001 1234 4321 00 00 | 8008 0F08 7F80 0001 1234 4321 00 00 CB
